task_id,task_name,Correct(1) / Wrong(0)_1,Correct(1) / Wrong(0)_2,Correct(1) / Wrong(0)_3,Correct(1) / Wrong(0)_4,Correct(1) / Wrong(0)_5,difficulty
0,007bbfb7,1,1,1,1,1,2
1,00d62c1b,1,1,1,1,1,2
3,025d127b,0,0,0,1,1,1
4,045e512c,1,1,1,1,1,3
5,0520fde7,1,1,1,1,1,3
7,05f2a901,1,1,1,1,1,2
8,06df4c85,1,1,1,1,1,3
9,08ed6ac7,0,0,0,0,0,2
10,09629e4f,1,1,1,1,1,1
11,0962bcdd,1,1,1,1,1,1
12,0a938d79,1,1,1,1,1,2
13,0b148d64,0,0,0,0,0,4
14,0ca9ddb6,1,1,1,1,1,2
15,0d3d703e,0,0,0,0,0,2
16,0dfd9992,1,0,1,0,1,1
17,0e206a2e,0,1,1,1,0,1
18,10fcaaa3,1,1,1,1,1,1
19,11852cab,0,0,0,0,0,3
20,1190e5a7,1,1,1,1,1,2
21,137eaa0f,0,0,0,0,0,1
22,150deff5,1,1,1,1,1,1
23,178fcbfb,1,1,1,1,1,1
24,1a07d186,1,1,1,1,1,2
25,1b2d62fb,0,0,0,0,0,1
26,1b60fb0c,1,1,1,1,1,1
27,1bfc4729,0,0,0,0,0,1
28,1c786137,1,0,1,0,0,1
29,1caeab9d,1,1,1,1,1,4
30,1cf80156,1,1,1,1,1,1
31,1e0a9b12,1,1,1,1,1,1
32,1e32b0e9,1,1,1,0,1,2
33,1f0c79e5,1,1,1,1,1,1
34,1f642eb9,1,0,1,1,1,1
35,1f85a75f,1,0,1,1,0,2
36,1f876c06,1,0,0,0,1,3
37,1fad071e,1,1,1,1,1,4
38,2013d3e2,1,1,1,1,1,1
39,2204b7a8,1,1,1,0,0,2
40,22168020,1,1,1,1,1,4
41,22233c11,1,1,1,1,1,1
42,2281f1f4,1,1,1,1,1,5
43,228f6490,1,1,1,1,1,1
44,22eb0ac0,1,1,1,1,1,1
45,234bbc79,1,1,1,1,1,2
46,23581191,1,1,1,1,1,1
47,239be575,1,1,1,1,1,2
48,23b5c85d,1,1,1,1,1,1
49,253bf280,0,0,0,0,0,5
50,25d487eb,1,1,1,1,1,3
51,25d8a9c8,1,1,1,1,1,1
52,25ff71a9,0,0,0,0,0,5
53,264363fd,1,1,1,1,1,1
54,272f95fa,0,1,1,0,0,1
55,27a28665,1,1,1,1,1,2
56,28bf18c6,0,0,0,0,0,2
58,29623171,1,1,1,1,1,3
59,29c11459,0,0,0,0,0,1
60,29ec7d0e,1,1,1,1,1,2
61,2bcee788,1,1,1,1,1,3
62,2bee17df,1,1,1,1,1,5
63,2c608aff,0,0,1,0,0,3
64,2dc579da,1,1,1,1,1,4
65,2dd70a9a,1,1,0,1,1,4
66,2dee498d,1,1,1,0,1,3
67,31aa019c,1,1,1,1,1,3
68,321b1fc6,0,0,0,0,0,1
69,32597951,1,1,1,1,0,2
70,3345333e,1,1,1,1,1,3
71,3428a4f5,1,1,1,0,1,2
72,3618c87e,0,1,0,0,0,2
73,3631a71a,1,1,1,1,1,1
74,363442ee,1,1,1,1,1,2
75,36d67576,0,0,0,0,0,2
76,36fdfd69,1,1,1,1,1,2
77,3906de3d,1,1,0,1,1,3
78,39a8645d,1,0,0,1,1,2
79,39e1d7f9,1,1,1,1,1,1
80,3aa6fb7a,1,1,1,1,1,2
81,3ac3eb23,1,1,1,0,1,1
82,3af2c5a8,0,1,0,0,0,5
83,3bd67248,0,0,0,0,0,1
84,3bdb4ada,1,1,1,1,1,1
85,3befdf3e,1,1,1,1,1,2
86,3c9b0459,0,1,0,0,0,2
87,3de23699,1,0,0,0,1,1
88,3e980e27,1,1,1,1,1,4
89,3eda0437,0,0,0,0,0,1
90,3f7978a0,1,1,1,1,1,3
91,40853293,1,1,1,1,1,4
92,4093f84a,1,1,1,1,1,3
93,41e4d17e,0,0,0,0,0,1
94,4258a5f9,1,1,1,1,1,1
95,4290ef0e,1,1,1,1,1,1
96,42a50994,0,0,0,0,0,2
97,4347f46a,1,1,1,1,1,1
98,444801d8,1,1,1,1,1,3
99,445eab21,1,1,1,1,1,2
100,447fd412,1,1,1,1,1,1
101,44d8ac46,0,0,0,0,0,3
102,44f52bb0,0,0,0,0,0,1
103,4522001f,1,1,1,1,1,4
104,4612dd53,1,1,1,1,1,1
105,46442a0e,1,1,1,1,1,5
106,469497ad,0,0,1,1,0,2
107,46f33fce,0,0,0,0,1,3
108,47c1f68c,1,0,0,0,0,2
109,484b58aa,1,1,1,1,1,4
110,48d8fb45,1,0,1,1,1,1
111,4938f0c2,1,1,1,1,1,4
112,496994bd,1,1,1,1,1,1
113,49d1d64f,1,1,1,1,1,1
114,4be741c5,0,0,0,0,0,4
115,4c4377d9,0,0,0,0,0,5
116,4c5c2cf0,1,1,1,1,1,3
117,50846271,0,1,1,0,1,4
118,508bd3b6,1,1,1,1,1,2
119,50cb2852,1,1,1,1,1,1
121,5168d44c,0,0,0,0,0,3
122,539a4f51,0,0,1,1,0,1
123,53b68214,1,1,1,1,1,1
124,543a7ed5,1,1,1,1,1,1
125,54d82841,1,1,1,1,1,2
126,54d9e175,0,0,0,0,0,5
127,5521c0d9,1,1,1,1,1,1
128,5582e5ca,1,1,1,1,1,1
129,5614dbcf,1,0,1,0,0,1
130,56dc2b01,0,0,0,0,0,1
131,56ff96f3,1,1,1,1,1,2
132,57aa92db,1,1,1,1,1,2
133,5ad4f10b,1,1,1,0,0,1
134,5bd6f4ac,0,0,0,0,0,2
135,5c0a986e,1,0,0,1,1,3
136,5c2c9af4,1,1,1,1,1,5
137,5daaa586,1,1,1,1,1,5
138,60b61512,0,0,0,0,0,1
139,6150a2bd,0,0,0,0,0,2
140,623ea044,1,1,1,1,1,3
141,62c24649,1,1,1,1,1,3
142,63613498,1,1,1,1,1,2
143,6430c8c4,1,1,1,1,1,1
144,6455b5f5,1,1,1,1,1,2
145,662c240a,1,1,1,1,1,1
146,67385a82,1,1,1,1,1,1
147,673ef223,0,0,0,0,0,2
148,6773b310,1,1,0,1,1,2
149,67a3c6ac,0,0,0,0,0,3
150,67a423a3,0,0,0,0,0,4
151,67e8384a,0,0,0,0,0,1
152,681b3aeb,0,0,0,0,1,1
153,6855a6e4,0,1,0,1,1,1
154,68b16354,0,0,0,0,0,1
155,694f12f3,0,0,0,0,0,5
156,6a1e5592,0,0,0,0,0,1
157,6aa20dc0,1,1,1,1,1,3
158,6b9890af,0,0,0,0,0,1
159,6c434453,1,0,0,0,1,1
160,6cdd2623,1,1,1,1,1,3
161,6cf79266,1,1,1,1,1,2
162,6d0160f0,0,1,1,0,0,1
163,6d0aefbc,1,1,1,1,1,1
164,6d58a25d,1,1,1,1,1,2
165,6d75e8bb,1,1,1,1,1,5
166,6e02f1e3,0,0,0,0,1,2
167,6e19193c,1,1,1,1,1,1
168,6e82a1ae,1,1,1,1,1,2
169,6ecd11f4,1,1,1,1,1,1
170,6f8cd79b,0,1,0,0,0,2
171,6fa7a44f,0,0,0,0,0,3
172,72322fa7,1,1,1,1,1,1
173,72ca375d,0,0,0,0,0,3
174,73251a56,1,1,1,1,1,1
175,7447852a,1,0,0,0,0,1
176,7468f01a,1,1,1,1,1,1
177,746b3537,1,1,1,1,1,5
178,74dd1130,0,0,0,0,0,1
179,75b8110e,0,0,0,0,0,1
180,760b3cac,1,1,1,1,1,2
181,776ffc46,1,1,1,1,1,2
182,77fdfe62,1,1,1,1,1,5
183,780d0b14,0,1,0,0,0,5
184,7837ac64,1,0,0,0,0,5
185,794b24be,1,1,1,1,1,1
186,7b6016b9,1,1,1,1,1,1
187,7b7f7511,0,0,0,0,0,2
188,7c008303,1,1,1,1,1,3
189,7ddcd7ec,0,0,0,0,0,5
190,7df24a62,0,0,0,0,0,1
191,7e0986d6,1,1,1,1,0,1
192,7f4411dc,0,1,0,1,1,3
193,7fe24cdd,1,1,1,1,1,1
194,80af3007,1,1,1,1,1,4
195,810b9b61,1,1,1,1,1,1
196,82819916,1,1,1,1,1,5
197,83302e8f,1,1,1,0,1,1
198,834ec97d,0,0,0,0,0,4
199,8403a5d5,1,1,1,1,1,1
200,846bdb03,1,1,1,1,1,1
201,855e0971,1,1,1,1,1,1
202,85c4e7cd,0,0,0,0,0,3
203,868de0fa,1,1,1,1,1,5
204,8731374e,0,0,0,0,0,5
205,88a10436,1,0,0,1,0,2
206,88a62173,1,1,1,1,1,3
208,8a004b2b,0,0,0,0,0,1
209,8be77c9e,1,1,1,1,1,1
210,8d5021e8,0,0,0,0,0,1
211,8d510a79,1,1,1,1,1,1
212,8e1813be,1,1,1,1,1,1
213,8e5a5113,1,1,1,1,1,2
214,8eb1be9a,1,1,1,1,1,4
215,8efcae92,1,1,1,1,1,3
216,8f2ea7aa,1,1,1,1,1,1
217,90c28cc7,1,1,0,1,1,1
218,90f3ed37,1,1,0,0,1,1
219,913fb3ed,1,1,1,1,1,1
220,91413438,0,0,1,0,0,5
221,91714a58,0,0,0,0,0,1
222,9172f3a0,1,1,1,1,1,4
223,928ad970,0,0,0,1,0,1
224,93b581b8,0,0,0,1,0,1
225,941d9a10,1,0,1,1,1,2
226,94f9d214,1,1,1,1,1,2
227,952a094c,1,1,1,1,1,2
228,9565186b,1,0,1,1,1,1
229,95990924,0,0,0,0,0,1
230,963e52fc,1,1,1,1,1,1
231,97999447,1,1,1,1,1,3
232,97a05b5b,0,0,0,0,0,1
233,98cf29f8,1,1,0,0,0,1
234,995c5fa3,0,0,1,0,0,1
235,99b1bc43,1,0,1,0,0,2
236,99fa7670,1,1,0,0,1,1
237,9aec4887,0,1,0,0,1,1
238,9af7a82c,1,1,1,1,1,3
239,9d9215db,1,1,1,1,1,4
240,9dfd6313,1,1,1,1,1,2
241,9ecd008a,0,1,0,0,1,1
242,9edfc990,0,0,0,0,0,2
243,9f236235,1,1,0,0,1,1
244,a1570a43,0,0,0,0,0,5
245,a2fd1cf0,1,1,1,1,1,1
246,a3325580,0,0,0,0,0,1
247,a3df8b1e,0,0,0,0,0,1
248,a416b8f3,1,1,1,1,1,2
249,a48eeaf7,0,1,1,1,1,1
250,a5313dff,1,0,1,1,0,1
251,a5f85a15,1,1,1,1,1,1
252,a61ba2ce,1,0,1,1,1,1
253,a61f2674,0,0,0,0,0,1
254,a64e4611,1,1,1,1,1,1
255,a65b410d,0,0,0,0,0,3
256,a68b268e,0,0,1,1,0,2
257,a699fb00,0,0,0,0,0,3
258,a740d043,1,1,1,1,1,1
259,a78176bb,1,0,0,0,0,4
260,a79310a0,0,0,0,0,0,4
261,a85d4709,0,0,1,1,1,3
262,a87f7484,1,1,1,0,1,2
263,a8c38be5,1,1,1,1,1,5
264,a8d7556c,1,1,1,1,1,5
265,a9f96cdd,1,1,1,0,1,1
266,aabf363d,0,0,0,0,0,4
267,aba27056,0,0,0,0,0,3
268,ac0a08a4,0,0,0,0,0,4
269,ae3edfdc,1,1,1,1,1,3
270,ae4f1146,1,1,1,1,1,3
271,aedd82e4,1,1,1,1,1,2
272,af902bf9,1,1,0,0,0,3
273,b0c4d837,0,1,1,0,1,2
274,b190f7f5,1,1,1,1,1,3
275,b1948b0a,0,0,0,0,0,2
276,b230c067,1,1,1,1,1,3
277,b27ca6d3,0,0,0,0,0,2
278,b2862040,0,0,0,0,0,5
279,b527c5c6,0,1,1,1,1,3
280,b548a754,1,1,1,1,1,1
281,b60334d2,1,1,1,1,1,3
282,b6afb2da,0,0,0,0,0,2
283,b7249182,1,1,1,1,1,2
284,b775ac94,1,1,0,1,1,3
285,b782dc8a,1,1,1,1,1,3
286,b8825c91,1,1,1,1,1,4
287,b8cdaf2b,0,0,0,0,0,3
288,b91ae062,1,1,1,1,1,4
289,b94a9452,1,1,1,1,1,4
290,b9b7f026,1,1,1,1,1,3
291,ba26e723,1,1,1,1,1,2
292,ba97ae07,1,1,1,1,1,2
293,bb43febb,1,1,1,1,1,4
294,bbc9ae5d,1,1,1,1,1,4
295,bc1d5164,1,0,0,0,0,3
296,bd4472b8,1,1,1,1,1,2
297,bda2d7a6,1,1,0,1,1,2
298,bdad9b1f,1,0,1,0,0,2
299,be94b721,1,1,0,0,0,4
300,beb8660c,0,0,0,0,0,2
301,c0f76784,0,1,0,0,0,4
302,c1d99e64,1,1,1,1,1,3
303,c3e719e8,1,1,1,1,0,2
304,c3f564a4,1,1,1,1,1,1
305,c444b776,1,0,0,0,0,2
306,c59eb873,1,1,1,1,1,3
307,c8cbb738,1,1,1,1,1,3
308,c8f0f002,0,0,0,0,0,3
309,c909285e,0,1,1,1,1,1
310,c9e6f938,1,1,1,1,1,4
311,c9f8e694,1,1,1,1,1,3
312,caa06a1f,1,1,1,1,1,4
313,cbded52d,1,1,1,1,1,2
314,cce03e0d,1,1,1,1,1,4
315,cdecee7f,0,1,1,0,0,2
316,ce22a75a,0,0,0,0,0,4
317,ce4f8723,1,1,1,1,1,2
318,ce602527,1,1,1,1,1,4
319,ce9e57f2,0,1,0,0,0,3
320,cf98881b,0,0,0,1,1,4
321,d037b0a7,0,1,1,1,1,3
322,d06dbe63,1,0,0,0,0,2
323,d07ae81c,1,1,1,1,1,4
324,d0f5fe59,1,1,1,1,1,2
325,d10ecb37,1,0,1,1,0,2
326,d13f3404,1,1,1,1,1,2
327,d22278a0,1,0,1,1,1,3
328,d23f8c26,1,1,1,0,1,3
329,d2abd087,1,1,1,1,1,3
330,d364b489,1,0,0,0,1,4
331,d406998b,0,0,1,0,1,3
332,d43fd935,1,1,1,1,1,5
333,d4469b4b,1,1,1,1,1,3
334,d4a91cb9,0,0,0,0,0,4
335,d4f3cd78,0,0,0,0,0,3
336,d511f180,1,1,1,1,1,5
337,d5d6de2d,1,1,1,1,1,3
338,d631b094,0,0,0,0,0,3
339,d687bc17,0,1,1,1,1,2
340,d6ad076f,0,0,0,0,0,3
341,d89b689b,0,0,0,0,0,3
342,d8c310e9,1,1,1,1,0,2
343,d90796e8,1,0,0,0,0,2
344,d9f24cd1,0,1,0,1,0,2
345,d9fac9be,1,1,1,1,1,2
346,dae9d2b5,0,0,0,0,0,2
347,db3e9e38,0,0,0,0,0,1
348,db93a21d,0,0,0,0,0,2
349,dbc1a6ce,1,1,1,0,1,2
350,dc0a314f,1,1,1,1,1,4
351,dc1df850,1,1,1,1,1,3
352,dc433765,1,1,1,1,1,2
353,ddf7fa4f,1,1,1,1,1,4
354,de1cd16c,1,1,1,1,1,3
355,ded97339,1,1,1,1,1,1
356,e179c5f4,1,0,1,1,0,1
357,e21d9049,1,1,1,1,1,1
358,e26a3af2,1,0,1,1,1,1
359,e3497940,1,1,1,1,1,1
360,e40b9e2f,1,1,1,0,1,5
361,e48d4e1a,1,1,1,1,1,1
362,e5062a87,0,0,0,0,1,1
363,e509e548,1,1,1,1,1,1
364,e50d258f,0,0,0,0,0,2
365,e6721834,1,1,1,1,1,2
366,e73095fd,1,1,1,1,1,2
367,e76a88a6,1,1,1,1,1,1
368,e8593010,0,0,0,0,0,2
369,e8dc4411,1,1,1,1,1,2
370,e9614598,0,0,0,0,0,1
371,e98196ab,1,0,1,0,1,1
372,e9afcf9a,0,1,1,1,1,1
373,ea32f347,0,0,0,0,0,1
374,ea786f4a,1,1,1,1,1,5
375,eb281b96,0,0,0,0,1,1
376,eb5a1d5d,0,0,0,0,0,1
377,ec883f72,1,1,1,1,1,1
378,ecdecbb3,1,1,1,0,1,1
379,ed36ccf7,0,0,0,0,0,1
380,ef135b50,0,0,1,1,1,3
381,f15e1fac,0,1,1,1,0,1
382,f1cefba8,0,0,0,0,0,1
383,f25fbde4,1,1,1,1,1,3
384,f25ffba3,0,0,0,0,0,1
385,f2829549,1,0,0,1,1,1
386,f35d900a,1,1,1,1,1,1
387,f5b8619d,1,1,1,1,1,1
388,f76d97a5,1,1,1,1,1,1
389,f8a8fe49,1,1,0,1,1,1
390,f8b3ba0a,0,0,0,0,0,2
391,f8c80d96,0,0,0,0,0,2
392,f8ff0b80,0,0,0,1,0,2
393,f9012d9b,1,1,1,1,1,1
394,fafffa47,1,0,0,0,0,2
395,fcb5c309,1,1,1,1,0,1
396,fcc82909,1,1,1,1,1,1
397,feca6190,1,1,1,0,1,1
398,ff28f65a,1,1,0,1,1,1
399,ff805c23,1,1,1,1,1,2
2,017c7c7b,0,1,1,0,0,2
57,28e73c20,0,0,0,0,1,2
,,,,,,,1
,,,,,,,5
,,,,,,,1
