task_id,task_name,Correct(1) / Wrong(0)_other,Correct(1) / Wrong(0)_other.1,Correct(1) / Wrong(0)_other.2,Correct(1) / Wrong(0)_other.3,Correct(1) / Wrong(0)_other.4
0,007bbfb7,1,1,1,1,1
1,00d62c1b,1,1,1,1,1
2,017c7c7b,0,1,1,0,0
3,025d127b,1,0,0,1,1
4,045e512c,1,1,1,1,1
5,0520fde7,1,1,1,1,1
6,5269061,1,1,1,1,1
7,05f2a901,1,1,1,1,1
8,06df4c85,0,1,1,1,1
9,08ed6ac7,1,0,0,0,0
10,09629e4f,1,1,1,1,1
11,0962bcdd,1,1,1,1,1
12,0a938d79,0,1,1,1,1
13,0b148d64,1,0,0,0,1
14,0ca9ddb6,0,1,1,1,1
15,0d3d703e,1,0,0,0,0
16,0dfd9992,0,0,1,0,1
17,0e206a2e,1,1,1,1,0
18,10fcaaa3,0,1,1,1,1
19,11852cab,1,0,0,0,0
20,1190e5a7,0,1,1,1,1
21,137eaa0f,1,0,0,0,1
22,150deff5,1,1,1,1,1
23,178fcbfb,1,1,1,1,0
24,1a07d186,0,1,1,1,1
25,1b2d62fb,1,0,1,0,0
26,1b60fb0c,0,1,0,1,0
27,1bfc4729,1,0,1,0,1
28,1c786137,1,0,1,0,1
29,1caeab9d,1,1,1,1,1
30,1cf80156,1,1,1,1,1
31,1e0a9b12,1,1,1,1,1
32,1e32b0e9,1,1,1,0,1
33,1f0c79e5,1,1,1,1,0
34,1f642eb9,1,0,1,1,1
35,1f85a75f,1,0,1,1,1
36,1f876c06,1,0,1,0,0
37,1fad071e,1,1,1,1,1
38,2013d3e2,1,1,1,1,1
39,2204b7a8,1,1,1,0,1
40,22168020,1,1,1,1,1
41,22233c11,1,1,1,1,1
42,2281f1f4,1,1,1,1,1
43,228f6490,1,1,1,1,1
44,22eb0ac0,1,1,1,1,1
45,234bbc79,1,1,1,1,1
46,23581191,1,1,1,1,0
47,239be575,1,1,0,1,1
48,23b5c85d,0,1,1,1,1
49,253bf280,1,0,1,0,0
50,25d487eb,1,1,0,1,1
51,25d8a9c8,0,1,1,1,0
52,25ff71a9,1,0,1,0,1
53,264363fd,0,1,1,1,1
54,272f95fa,1,1,0,0,0
55,27a28665,0,1,1,1,1
56,28bf18c6,1,0,0,0,1
57,28e73c20,0,0,1,0,1
58,29623171,1,1,1,1,0
59,29c11459,1,0,1,0,1
60,29ec7d0e,1,1,1,1,1
61,2bcee788,0,1,1,1,1
62,2bee17df,1,1,0,1,1
63,2c608aff,1,0,1,0,0
64,2dc579da,1,1,1,1,0
65,2dd70a9a,1,1,0,1,1
66,2dee498d,0,1,1,0,1
67,31aa019c,1,1,1,1,1
68,321b1fc6,1,0,0,0,1
69,32597951,1,1,1,1,0
70,3345333e,0,1,1,1,1
71,3428a4f5,1,1,0,0,1
72,3618c87e,1,1,1,0,1
73,3631a71a,0,1,0,1,1
74,363442ee,1,1,0,1,1
75,36d67576,1,0,1,0,0
76,36fdfd69,1,1,1,1,0
77,3906de3d,1,1,1,1,1
78,39a8645d,1,0,0,1,1
79,39e1d7f9,1,1,0,1,0
80,3aa6fb7a,0,1,1,1,1
81,3ac3eb23,0,1,1,0,1
82,3af2c5a8,1,1,0,0,0
83,3bd67248,1,0,1,0,1
84,3bdb4ada,0,1,0,1,1
85,3befdf3e,1,1,1,1,1
86,3c9b0459,1,1,1,0,0
87,3de23699,0,0,1,0,1
88,3e980e27,1,1,0,1,1
89,3eda0437,1,0,1,0,0
90,3f7978a0,1,1,1,1,1
91,40853293,0,1,0,1,1
92,4093f84a,1,1,1,1,1
93,41e4d17e,1,0,1,0,1
94,4258a5f9,0,1,1,1,0
95,4290ef0e,1,1,1,1,1
96,42a50994,1,0,0,0,1
97,4347f46a,1,1,0,1,1
98,444801d8,1,1,1,1,0
99,445eab21,0,1,1,1,1
100,447fd412,0,1,1,1,0
101,44d8ac46,1,0,1,0,1
102,44f52bb0,1,0,0,0,1
103,4522001f,1,1,0,1,1
104,4612dd53,0,1,1,1,1
105,46442a0e,0,1,1,1,1
106,469497ad,1,0,1,1,0
107,46f33fce,1,0,1,0,0
108,47c1f68c,1,0,1,0,1
109,484b58aa,1,1,0,1,1
110,48d8fb45,1,0,0,1,1
111,4938f0c2,1,1,1,1,1
112,496994bd,0,1,1,1,1
113,49d1d64f,0,1,1,1,0
114,4be741c5,1,0,1,0,1
115,4c4377d9,0,0,1,0,1
116,4c5c2cf0,1,1,1,1,1
117,50846271,1,1,1,0,0
118,508bd3b6,1,1,1,1,1
119,50cb2852,0,1,1,1,1
120,5.12E+65,0,1,1,1,0
121,5168d44c,1,0,1,0,0
122,539a4f51,1,0,0,1,1
123,53b68214,1,1,1,1,1
124,543a7ed5,0,1,1,1,0
125,54d82841,1,1,1,1,1
126,54d9e175,1,0,0,0,1
127,5521c0d9,1,1,0,1,1
128,5582e5ca,0,1,1,1,0
129,5614dbcf,1,0,1,0,0
130,56dc2b01,1,0,0,0,1
131,56ff96f3,1,1,0,1,1
132,57aa92db,0,1,1,1,1
133,5ad4f10b,1,1,1,0,1
134,5bd6f4ac,1,0,1,0,1
135,5c0a986e,1,0,1,1,1
136,5c2c9af4,0,1,1,1,0
137,5daaa586,0,1,1,1,1
138,60b61512,1,0,1,0,0
139,6150a2bd,1,0,0,0,0
140,623ea044,1,1,0,1,0
141,62c24649,1,1,0,1,1
142,63613498,1,1,0,1,1
143,6430c8c4,1,1,0,1,0
144,6455b5f5,1,1,0,1,0
145,662c240a,0,1,0,1,0
146,67385a82,1,1,0,1,1
147,673ef223,0,0,1,0,1
148,6773b310,0,1,0,1,1
149,67a3c6ac,0,0,0,0,1
150,67a423a3,0,0,1,0,0
151,67e8384a,0,0,1,0,1
152,681b3aeb,0,0,1,0,1
153,6855a6e4,0,1,1,1,1
154,68b16354,0,0,1,0,1
155,694f12f3,1,0,0,0,1
156,6a1e5592,0,0,1,0,0
157,6aa20dc0,1,1,1,1,0
158,6b9890af,1,0,0,0,1
159,6c434453,1,0,0,0,0
160,6cdd2623,0,1,1,1,1
161,6cf79266,1,1,0,1,0
162,6d0160f0,1,1,1,0,1
163,6d0aefbc,1,1,0,1,1
164,6d58a25d,0,1,1,1,0
165,6d75e8bb,1,1,1,1,0
166,6e02f1e3,1,0,0,0,1
167,6e19193c,1,1,0,1,1
168,6e82a1ae,0,1,1,1,1
169,6ecd11f4,0,1,1,1,0
170,6f8cd79b,1,1,1,0,0
171,6fa7a44f,0,0,0,0,1
172,72322fa7,1,1,0,1,1
173,72ca375d,1,0,1,0,0
174,73251a56,1,1,1,1,1
175,7447852a,1,0,0,0,0
176,7468f01a,0,1,1,1,0
177,746b3537,0,1,0,1,1
178,74dd1130,1,0,0,0,1
179,75b8110e,1,0,1,0,1
180,760b3cac,1,1,1,1,1
181,776ffc46,0,1,1,1,1
182,77fdfe62,1,1,1,1,0
183,780d0b14,1,1,1,0,1
184,7837ac64,1,0,1,0,1
185,794b24be,0,1,1,1,1
186,7b6016b9,1,1,1,1,0
187,7b7f7511,0,0,1,0,1
188,7c008303,0,1,0,1,0
189,7ddcd7ec,1,0,1,0,0
190,7df24a62,0,0,0,0,1
191,7e0986d6,1,1,0,1,1
192,7f4411dc,1,1,1,1,0
193,7fe24cdd,1,1,1,1,1
194,80af3007,1,1,1,1,1
195,810b9b61,1,1,1,1,1
196,82819916,0,1,1,1,1
197,83302e8f,1,1,1,0,1
198,834ec97d,1,0,1,0,1
199,8403a5d5,1,1,1,1,1
200,846bdb03,0,1,1,1,1
201,855e0971,1,1,0,1,1
202,85c4e7cd,0,0,0,0,1
203,868de0fa,1,1,1,1,0
204,8731374e,1,0,1,0,1
205,88a10436,1,0,0,1,0
206,88a62173,0,1,1,1,0
207,8.90E+14,1,0,0,0,1
208,8a004b2b,0,0,0,0,1
209,8be77c9e,1,1,1,1,1
210,8d5021e8,1,0,1,0,1
211,8d510a79,1,1,1,1,0
212,8e1813be,1,1,1,1,1
213,8e5a5113,1,1,0,1,1
214,8eb1be9a,1,1,1,1,0
215,8efcae92,1,1,1,1,0
216,8f2ea7aa,1,1,0,1,0
217,90c28cc7,1,1,0,1,0
218,90f3ed37,0,1,1,0,1
219,913fb3ed,0,1,0,1,1
220,91413438,1,0,1,0,1
221,91714a58,0,0,1,0,1
222,9172f3a0,0,1,1,1,1
223,928ad970,1,0,0,1,1
224,93b581b8,1,0,0,1,0
225,941d9a10,1,0,0,1,0
226,94f9d214,1,1,0,1,1
227,952a094c,0,1,1,1,0
228,9565186b,1,0,0,1,0
229,95990924,1,0,1,0,1
230,963e52fc,0,1,1,1,1
231,97999447,1,1,1,1,0
232,97a05b5b,0,0,1,0,1
233,98cf29f8,1,1,1,0,1
234,995c5fa3,1,0,0,0,0
235,99b1bc43,0,0,1,0,1
236,99fa7670,1,1,0,0,0
237,9aec4887,1,1,1,0,1
238,9af7a82c,1,1,0,1,0
239,9d9215db,0,1,0,1,0
240,9dfd6313,0,1,1,1,1
241,9ecd008a,1,1,1,0,1
242,9edfc990,0,0,1,0,1
243,9f236235,1,1,1,0,1
244,a1570a43,0,0,0,0,1
245,a2fd1cf0,0,1,0,1,0
246,a3325580,1,0,0,0,0
247,a3df8b1e,0,0,1,0,1
248,a416b8f3,1,1,1,1,1
249,a48eeaf7,1,1,1,1,1
250,a5313dff,1,0,0,1,0
251,a5f85a15,0,1,1,1,1
252,a61ba2ce,1,0,1,1,1
253,a61f2674,0,0,0,0,1
254,a64e4611,0,1,0,1,0
255,a65b410d,0,0,1,0,0
256,a68b268e,1,0,1,1,1
257,a699fb00,1,0,1,0,1
258,a740d043,0,1,0,1,1
259,a78176bb,0,0,1,0,1
260,a79310a0,1,0,0,0,1
261,a85d4709,1,0,1,1,1
262,a87f7484,1,1,1,0,0
263,a8c38be5,1,1,0,1,1
264,a8d7556c,0,1,1,1,1
265,a9f96cdd,0,1,1,0,1
266,aabf363d,0,0,1,0,1
267,aba27056,1,0,1,0,1
268,ac0a08a4,1,0,1,0,1
269,ae3edfdc,1,1,1,1,1
270,ae4f1146,1,1,1,1,0
271,aedd82e4,0,1,0,1,1
272,af902bf9,1,1,1,0,1
273,b0c4d837,0,1,0,0,0
274,b190f7f5,1,1,1,1,0
275,b1948b0a,0,0,0,0,0
276,b230c067,0,1,0,1,0
277,b27ca6d3,0,0,0,0,1
278,b2862040,1,0,1,0,1
279,b527c5c6,1,1,1,1,0
280,b548a754,0,1,1,1,1
281,b60334d2,1,1,0,1,1
282,b6afb2da,1,0,1,0,0
283,b7249182,1,1,1,1,1
284,b775ac94,1,1,0,1,1
285,b782dc8a,0,1,1,1,1
286,b8825c91,1,1,1,1,1
287,b8cdaf2b,1,0,1,0,1
288,b91ae062,1,1,1,1,1
289,b94a9452,1,1,1,1,0
290,b9b7f026,1,1,1,1,0
291,ba26e723,1,1,1,1,1
292,ba97ae07,1,1,1,1,1
293,bb43febb,1,1,1,1,0
294,bbc9ae5d,1,1,0,1,1
295,bc1d5164,1,0,0,0,1
296,bd4472b8,1,1,1,1,0
297,bda2d7a6,1,1,1,1,1
298,bdad9b1f,0,0,1,0,1
299,be94b721,0,1,1,0,0
300,beb8660c,1,0,1,0,1
301,c0f76784,1,1,1,0,1
302,c1d99e64,1,1,1,1,1
303,c3e719e8,1,1,1,1,1
304,c3f564a4,1,1,0,1,1
305,c444b776,1,0,0,0,1
306,c59eb873,0,1,1,1,1
307,c8cbb738,0,1,1,1,1
308,c8f0f002,1,0,0,0,0
309,c909285e,1,1,1,1,0
310,c9e6f938,1,1,0,1,1
311,c9f8e694,1,1,0,1,0
312,caa06a1f,1,1,1,1,1
313,cbded52d,0,1,0,1,0
314,cce03e0d,0,1,1,1,0
315,cdecee7f,1,1,0,0,0
316,ce22a75a,1,0,0,0,0
317,ce4f8723,0,1,1,1,0
318,ce602527,0,1,1,1,1
319,ce9e57f2,0,1,1,0,0
320,cf98881b,1,0,1,1,0
321,d037b0a7,1,1,1,1,0
322,d06dbe63,1,0,1,0,1
323,d07ae81c,1,1,1,1,1
324,d0f5fe59,1,1,1,1,1
325,d10ecb37,1,0,1,1,1
326,d13f3404,1,1,1,1,1
327,d22278a0,1,0,1,1,1
328,d23f8c26,1,1,1,0,0
329,d2abd087,0,1,1,1,1
330,d364b489,1,0,1,0,1
331,d406998b,1,0,0,0,1
332,d43fd935,0,1,1,1,1
333,d4469b4b,0,1,1,1,1
334,d4a91cb9,1,0,1,0,1
335,d4f3cd78,1,0,0,0,0
336,d511f180,0,1,1,1,1
337,d5d6de2d,0,1,0,1,1
338,d631b094,0,0,1,0,1
339,d687bc17,0,1,0,1,0
340,d6ad076f,1,0,1,0,1
341,d89b689b,1,0,0,0,1
342,d8c310e9,0,1,1,1,1
343,d90796e8,1,0,1,0,0
344,d9f24cd1,0,1,0,1,1
345,d9fac9be,0,1,1,1,1
346,dae9d2b5,0,0,0,0,0
347,db3e9e38,1,0,0,0,1
348,db93a21d,1,0,0,0,1
349,dbc1a6ce,1,1,1,0,0
350,dc0a314f,1,1,1,1,1
351,dc1df850,1,1,1,1,0
352,dc433765,1,1,0,1,0
353,ddf7fa4f,1,1,0,1,1
354,de1cd16c,1,1,0,1,0
355,ded97339,1,1,0,1,1
356,e179c5f4,1,0,1,1,1
357,e21d9049,1,1,0,1,1
358,e26a3af2,1,0,1,1,0
359,e3497940,1,1,1,1,0
360,e40b9e2f,0,1,1,0,1
361,e48d4e1a,1,1,0,1,0
362,e5062a87,0,0,1,0,0
363,e509e548,1,1,0,1,1
364,e50d258f,1,0,0,0,1
365,e6721834,1,1,0,1,1
366,e73095fd,0,1,1,1,1
367,e76a88a6,1,1,0,1,0
368,e8593010,0,0,0,0,1
369,e8dc4411,1,1,0,1,1
370,e9614598,0,0,1,0,0
371,e98196ab,0,0,0,0,0
372,e9afcf9a,1,1,1,1,1
373,ea32f347,0,0,1,0,0
374,ea786f4a,0,1,0,1,0
375,eb281b96,1,0,0,0,0
376,eb5a1d5d,1,0,0,0,1
377,ec883f72,0,1,1,1,0
378,ecdecbb3,0,1,0,0,1
379,ed36ccf7,0,0,0,0,1
380,ef135b50,0,0,1,1,0
381,f15e1fac,1,1,1,1,1
382,f1cefba8,0,0,1,0,0
383,f25fbde4,1,1,0,1,0
384,f25ffba3,1,0,1,0,1
385,f2829549,1,0,0,1,0
386,f35d900a,1,1,1,1,0
387,f5b8619d,1,1,1,1,0
388,f76d97a5,0,1,0,1,1
389,f8a8fe49,0,1,0,1,0
390,f8b3ba0a,0,0,0,0,1
391,f8c80d96,1,0,1,0,1
392,f8ff0b80,1,0,0,1,1
393,f9012d9b,1,1,1,1,0
394,fafffa47,1,0,0,0,1
395,fcb5c309,1,1,0,1,1
396,fcc82909,1,1,0,1,0
397,feca6190,1,1,0,0,0
398,ff28f65a,0,1,0,1,0
399,ff805c23,0,1,1,1,0
