file_name,num_of_input,num_of_output,average_input_numbers,average_input_types,average_output_numbers,average_output_types
007bbfb7,5,5,9.0,2.0,81.0,2.0
00d62c1b,5,5,147.2,2.0,147.2,3.0
017c7c7b,3,3,18.0,2.0,27.0,2.0
025d127b,2,2,99.0,2.5,99.0,2.5
045e512c,3,3,441.0,4.0,441.0,4.0
0520fde7,3,3,21.0,3.0,9.0,2.0
05269061,3,3,49.0,4.0,49.0,3.0
05f2a901,3,3,108.66666666666667,3.0,108.66666666666667,3.0
06df4c85,3,3,486.0,5.0,486.0,5.0
08ed6ac7,2,2,81.0,2.0,81.0,5.0
09629e4f,4,4,121.0,7.0,121.0,6.0
0962bcdd,2,2,144.0,3.0,144.0,3.0
0a938d79,4,4,200.25,3.0,200.25,3.0
0b148d64,3,3,368.6666666666667,3.0,72.33333333333333,2.0
0ca9ddb6,3,3,81.0,3.6666666666666665,81.0,5.666666666666667
0d3d703e,4,4,9.0,3.0,9.0,3.0
0dfd9992,3,3,441.0,7.0,441.0,6.0
0e206a2e,3,3,228.66666666666666,5.0,228.66666666666666,5.0
10fcaaa3,4,4,12.75,2.0,51.0,3.0
11852cab,3,3,100.0,4.0,100.0,4.0
1190e5a7,3,3,358.3333333333333,2.0,14.666666666666666,1.0
137eaa0f,3,3,121.0,5.333333333333333,9.0,5.0
150deff5,3,3,83.66666666666667,2.0,83.66666666666667,3.0
178fcbfb,3,3,90.33333333333333,4.0,90.33333333333333,4.0
1a07d186,3,3,264.0,3.6666666666666665,264.0,2.6666666666666665
1b2d62fb,5,5,35.0,3.0,15.0,2.0
1b60fb0c,3,3,100.0,2.0,100.0,3.0
1bfc4729,2,2,100.0,3.0,100.0,3.0
1c786137,3,3,332.3333333333333,5.333333333333333,47.666666666666664,4.333333333333333
1caeab9d,3,3,66.66666666666667,4.0,66.66666666666667,4.0
1cf80156,3,3,132.0,2.0,15.333333333333334,2.0
1e0a9b12,3,3,25.666666666666668,5.0,25.666666666666668,5.0
1e32b0e9,3,3,289.0,3.0,289.0,3.0
1f0c79e5,4,4,81.0,3.0,81.0,2.0
1f642eb9,3,3,100.0,6.333333333333333,100.0,6.333333333333333
1f85a75f,2,2,900.0,3.5,12.0,2.0
1f876c06,3,3,100.0,4.666666666666667,100.0,4.666666666666667
1fad071e,3,3,81.0,3.0,5.0,2.0
2013d3e2,2,2,100.0,5.5,9.0,5.5
2204b7a8,3,3,100.0,4.0,100.0,3.0
22168020,3,3,100.0,2.6666666666666665,100.0,2.6666666666666665
22233c11,3,3,100.0,2.0,100.0,3.0
2281f1f4,3,3,100.0,2.0,100.0,3.0
228f6490,3,3,100.0,5.0,100.0,5.0
22eb0ac0,3,3,100.0,5.666666666666667,100.0,5.666666666666667
234bbc79,4,4,31.5,4.5,24.75,3.5
23581191,2,2,81.0,3.0,81.0,4.0
239be575,6,6,37.0,3.0,1.0,1.0
23b5c85d,5,5,223.0,4.2,7.4,1.0
253bf280,8,8,75.0,2.0,75.0,2.75
25d487eb,3,3,158.0,3.0,158.0,3.0
25d8a9c8,4,4,9.0,3.0,9.0,2.0
25ff71a9,4,4,9.0,2.0,9.0,2.0
264363fd,3,3,900.0,4.333333333333333,900.0,4.333333333333333
272f95fa,2,2,255.0,2.0,255.0,7.0
27a28665,7,7,9.0,2.0,1.0,1.0
28bf18c6,3,3,64.0,2.0,18.0,2.0
28e73c20,5,5,118.8,1.0,118.8,2.0
29623171,3,3,121.0,3.0,121.0,3.0
29c11459,2,2,55.0,3.0,55.0,4.0
29ec7d0e,4,4,324.0,7.5,324.0,6.5
2bcee788,4,4,100.0,3.0,100.0,2.0
2bee17df,3,3,129.33333333333334,3.0,129.33333333333334,4.0
2c608aff,4,4,162.0,3.0,162.0,3.0
2dc579da,3,3,65.0,3.0,12.666666666666666,2.0
2dd70a9a,3,3,241.66666666666666,4.0,241.66666666666666,4.0
2dee498d,3,3,29.0,3.3333333333333335,9.666666666666666,3.3333333333333335
31aa019c,3,3,100.0,8.333333333333334,100.0,3.0
321b1fc6,2,2,100.0,5.0,100.0,4.0
32597951,3,3,289.0,3.0,289.0,4.0
3345333e,2,2,256.0,3.0,256.0,2.0
3428a4f5,4,4,65.0,3.0,30.0,2.0
3618c87e,3,3,25.0,3.0,25.0,3.0
3631a71a,4,4,900.0,10.0,900.0,9.0
363442ee,3,3,117.0,6.666666666666667,117.0,5.666666666666667
36d67576,3,3,169.0,5.0,169.0,5.0
36fdfd69,3,3,252.0,3.0,252.0,4.0
3906de3d,3,3,100.0,3.0,100.0,3.0
39a8645d,3,3,196.0,3.3333333333333335,9.0,2.0
39e1d7f9,3,3,678.0,4.0,678.0,4.0
3aa6fb7a,2,2,49.0,2.0,49.0,3.0
3ac3eb23,2,2,51.0,2.5,51.0,2.5
3af2c5a8,3,3,12.0,2.0,48.0,2.0
3bd67248,3,3,94.33333333333333,2.0,94.33333333333333,4.0
3bdb4ada,2,2,200.0,3.0,200.0,3.0
3befdf3e,3,3,100.0,3.0,100.0,3.0
3c9b0459,4,4,9.0,2.75,9.0,2.75
3de23699,4,4,135.25,3.0,18.0,2.0
3e980e27,4,4,169.0,4.0,169.0,4.0
3eda0437,4,4,72.5,2.25,72.5,3.25
3f7978a0,3,3,107.66666666666667,3.0,30.0,3.0
40853293,2,2,400.0,6.0,400.0,6.0
4093f84a,3,3,196.0,3.0,196.0,2.0
41e4d17e,2,2,225.0,2.0,225.0,3.0
4258a5f9,2,2,81.0,2.0,81.0,3.0
4290ef0e,3,3,289.6666666666667,5.333333333333333,73.0,5.333333333333333
42a50994,4,4,188.5,2.0,188.5,2.0
4347f46a,3,3,158.66666666666666,3.3333333333333335,158.66666666666666,3.3333333333333335
444801d8,3,3,100.0,3.6666666666666665,100.0,3.6666666666666665
445eab21,3,3,100.0,3.0,4.0,1.0
447fd412,3,3,168.0,3.0,168.0,3.0
44d8ac46,4,4,144.0,2.0,144.0,2.75
44f52bb0,6,6,9.0,2.0,1.0,1.0
4522001f,2,2,9.0,3.0,81.0,2.0
4612dd53,3,3,143.0,2.0,143.0,3.0
46442a0e,3,3,7.333333333333333,2.3333333333333335,29.333333333333332,2.3333333333333335
469497ad,3,3,25.0,4.0,241.66666666666666,5.0
46f33fce,3,3,100.0,5.333333333333333,400.0,5.333333333333333
47c1f68c,3,3,83.66666666666667,3.0,66.66666666666667,2.0
484b58aa,3,3,841.0,7.0,841.0,6.0
48d8fb45,3,3,100.0,3.0,9.0,2.0
4938f0c2,3,3,289.3333333333333,3.0,289.3333333333333,3.0
496994bd,2,2,40.0,3.0,40.0,3.0
49d1d64f,3,3,6.333333333333333,4.666666666666667,20.333333333333332,5.333333333333333
4be741c5,3,3,128.66666666666666,3.3333333333333335,3.3333333333333335,3.3333333333333335
4c4377d9,4,4,12.0,2.0,24.0,2.0
4c5c2cf0,3,3,178.66666666666666,3.0,178.66666666666666,3.0
50846271,4,4,328.5,3.0,328.5,4.0
508bd3b6,3,3,144.0,3.0,144.0,4.0
50cb2852,3,3,161.0,3.6666666666666665,161.0,4.666666666666667
5117e062,3,3,169.0,5.333333333333333,9.0,2.0
5168d44c,3,3,77.0,3.0,77.0,3.0
539a4f51,3,3,25.0,4.0,100.0,3.3333333333333335
53b68214,3,3,63.333333333333336,2.0,100.0,2.0
543a7ed5,2,2,225.0,2.0,225.0,4.0
54d82841,3,3,41.333333333333336,2.3333333333333335,41.333333333333336,3.3333333333333335
54d9e175,4,4,44.0,5.0,44.0,4.0
5521c0d9,3,3,225.0,4.0,225.0,4.0
5582e5ca,3,3,9.0,5.0,9.0,1.0
5614dbcf,2,2,81.0,5.5,9.0,4.5
56dc2b01,3,3,78.0,3.0,78.0,4.0
56ff96f3,4,4,80.5,2.5,80.5,2.5
57aa92db,4,4,264.0,4.5,264.0,4.5
5ad4f10b,3,3,512.6666666666666,3.0,9.0,2.0
5bd6f4ac,4,4,81.0,10.0,9.0,4.75
5c0a986e,3,3,100.0,3.0,100.0,3.0
5c2c9af4,3,3,529.0,2.0,529.0,2.0
5daaa586,3,3,279.3333333333333,5.0,99.33333333333333,5.0
60b61512,2,2,81.0,2.0,81.0,3.0
6150a2bd,2,2,9.0,4.5,9.0,4.5
623ea044,3,3,166.33333333333334,2.0,166.33333333333334,2.0
62c24649,3,3,9.0,4.0,36.0,4.0
63613498,3,3,100.0,6.333333333333333,100.0,5.333333333333333
6430c8c4,4,4,36.0,4.0,16.0,2.0
6455b5f5,4,4,198.25,2.0,198.25,4.0
662c240a,4,4,27.0,6.0,9.0,2.0
67385a82,4,4,19.75,2.0,19.75,3.0
673ef223,3,3,184.0,3.0,184.0,4.0
6773b310,4,4,121.0,3.0,9.0,2.0
67a3c6ac,3,3,33.666666666666664,4.0,33.666666666666664,4.0
67a423a3,3,3,38.666666666666664,3.0,38.666666666666664,4.0
67e8384a,4,4,9.0,3.75,36.0,3.75
681b3aeb,3,3,100.0,3.0,9.0,2.0
6855a6e4,3,3,225.0,3.0,225.0,3.0
68b16354,3,3,33.0,6.0,33.0,6.0
694f12f3,2,2,100.0,2.0,100.0,4.0
6a1e5592,2,2,150.0,3.0,150.0,3.0
6aa20dc0,3,3,420.6666666666667,4.0,420.6666666666667,4.0
6b9890af,3,3,433.3333333333333,3.0,70.0,3.0
6c434453,2,2,100.0,2.0,100.0,3.0
6cdd2623,3,3,252.33333333333334,4.0,252.33333333333334,2.0
6cf79266,3,3,400.0,2.0,400.0,3.0
6d0160f0,4,4,121.0,8.5,121.0,5.5
6d0aefbc,4,4,9.0,2.75,18.0,2.75
6d58a25d,3,3,400.0,3.0,400.0,3.0
6d75e8bb,3,3,89.33333333333333,2.0,89.33333333333333,3.0
6e02f1e3,5,5,9.0,1.8,9.0,2.0
6e19193c,2,2,100.0,2.0,100.0,2.0
6e82a1ae,3,3,100.0,2.0,100.0,4.0
6ecd11f4,3,3,575.3333333333334,9.333333333333334,11.333333333333334,6.333333333333333
6f8cd79b,4,4,17.75,1.0,17.75,2.0
6fa7a44f,4,4,9.0,3.75,18.0,3.75
72322fa7,3,3,236.0,4.333333333333333,236.0,4.333333333333333
72ca375d,3,3,100.0,4.0,6.666666666666667,1.6666666666666667
73251a56,3,3,441.0,8.0,441.0,7.0
7447852a,3,3,43.0,2.0,43.0,3.0
7468f01a,3,3,199.0,3.0,27.0,2.0
746b3537,5,5,13.0,3.2,3.4,3.2
74dd1130,4,4,9.0,3.0,9.0,3.0
75b8110e,5,5,64.0,5.0,16.0,4.4
760b3cac,3,3,54.0,3.0,54.0,3.0
776ffc46,4,4,400.0,4.0,400.0,4.0
77fdfe62,3,3,54.666666666666664,7.0,12.0,4.666666666666667
780d0b14,3,3,395.6666666666667,5.666666666666667,5.333333333333333,4.666666666666667
7837ac64,4,4,785.0,4.0,9.0,3.0
794b24be,10,10,9.0,2.0,9.0,2.0
7b6016b9,3,3,527.6666666666666,2.0,527.6666666666666,3.0
7b7f7511,3,3,20.666666666666668,3.0,10.333333333333334,3.0
7c008303,3,3,81.0,6.666666666666667,36.0,4.666666666666667
7ddcd7ec,3,3,100.0,2.0,100.0,2.0
7df24a62,4,4,529.0,3.0,529.0,3.0
7e0986d6,2,2,195.0,3.0,195.0,2.0
7f4411dc,3,3,169.0,2.0,169.0,2.0
7fe24cdd,3,3,9.0,4.0,36.0,4.0
80af3007,3,3,288.0,2.0,81.0,2.0
810b9b61,3,3,177.0,2.0,177.0,3.0
82819916,4,4,76.0,6.25,76.0,6.25
83302e8f,3,3,592.6666666666666,2.0,592.6666666666666,3.0
834ec97d,3,3,38.333333333333336,2.0,38.333333333333336,3.0
8403a5d5,3,3,100.0,2.0,100.0,3.0
846bdb03,4,4,169.0,4.0,39.5,4.0
855e0971,4,4,218.0,3.75,218.0,3.75
85c4e7cd,4,4,86.0,4.5,86.0,4.5
868de0fa,5,5,189.2,2.0,189.2,4.0
8731374e,3,3,428.0,10.0,60.0,2.0
88a10436,3,3,72.33333333333333,5.0,72.33333333333333,4.0
88a62173,3,3,25.0,2.0,4.0,2.0
890034e9,3,3,441.0,4.0,441.0,4.0
8a004b2b,3,3,294.3333333333333,5.0,98.66666666666667,5.0
8be77c9e,3,3,9.0,2.0,18.0,2.0
8d5021e8,3,3,6.0,2.0,36.0,2.0
8d510a79,2,2,100.0,4.0,100.0,4.0
8e1813be,3,3,178.0,6.333333333333333,20.333333333333332,4.333333333333333
8e5a5113,3,3,33.0,5.0,33.0,4.0
8eb1be9a,2,2,202.5,2.0,202.5,2.0
8efcae92,3,3,400.0,3.0,65.33333333333333,2.0
8f2ea7aa,3,3,81.0,2.0,81.0,2.0
90c28cc7,3,3,441.0,6.333333333333333,6.333333333333333,5.333333333333333
90f3ed37,3,3,150.0,2.0,150.0,3.0
913fb3ed,4,4,118.0,2.75,118.0,4.5
91413438,4,4,9.0,2.0,193.5,2.0
91714a58,3,3,256.0,10.0,256.0,2.0
9172f3a0,2,2,9.0,3.5,81.0,3.5
928ad970,3,3,187.0,3.0,187.0,3.0
93b581b8,3,3,36.0,5.0,36.0,5.0
941d9a10,3,3,100.0,2.0,100.0,5.0
94f9d214,4,4,32.0,3.0,16.0,2.0
952a094c,3,3,100.0,6.0,100.0,6.0
9565186b,4,4,9.0,3.25,9.0,2.0
95990924,3,3,141.66666666666666,2.0,141.66666666666666,6.0
963e52fc,3,3,35.0,3.0,70.0,3.0
97999447,3,3,85.33333333333333,3.0,85.33333333333333,4.0
97a05b5b,3,3,282.6666666666667,4.666666666666667,99.33333333333333,3.6666666666666665
98cf29f8,3,3,252.33333333333334,3.0,252.33333333333334,3.0
995c5fa3,4,4,56.0,2.0,9.0,2.75
99b1bc43,4,4,36.0,4.0,16.0,2.0
99fa7670,4,4,29.0,3.0,29.0,3.0
9aec4887,3,3,229.66666666666666,6.0,32.333333333333336,6.0
9af7a82c,4,4,11.25,3.5,19.25,4.5
9d9215db,3,3,361.0,4.333333333333333,361.0,4.333333333333333
9dfd6313,3,3,16.666666666666668,4.0,16.666666666666668,4.0
9ecd008a,3,3,256.0,8.666666666666666,9.0,4.0
9edfc990,3,3,216.66666666666666,10.0,216.66666666666666,10.0
9f236235,3,3,281.0,4.0,13.666666666666666,3.0
a1570a43,4,4,73.0,3.0,73.0,3.0
a2fd1cf0,3,3,184.33333333333334,3.0,184.33333333333334,4.0
a3325580,6,6,100.0,4.166666666666667,9.333333333333334,2.0
a3df8b1e,3,3,30.0,2.0,30.0,2.0
a416b8f3,3,3,12.333333333333334,4.666666666666667,24.666666666666668,4.666666666666667
a48eeaf7,2,2,100.0,3.0,100.0,3.0
a5313dff,3,3,90.66666666666667,2.0,90.66666666666667,3.0
a5f85a15,3,3,36.333333333333336,2.0,36.333333333333336,3.0
a61ba2ce,2,2,169.0,5.0,16.0,5.0
a61f2674,2,2,81.0,2.0,81.0,3.0
a64e4611,3,3,900.0,2.0,900.0,3.0
a65b410d,3,3,61.333333333333336,2.0,61.333333333333336,4.0
a68b268e,6,6,81.0,6.0,16.0,4.333333333333333
a699fb00,3,3,75.0,2.0,75.0,3.0
a740d043,3,3,42.0,3.0,7.0,2.6666666666666665
a78176bb,3,3,100.0,3.0,100.0,2.0
a79310a0,3,3,19.666666666666668,2.0,19.666666666666668,2.0
a85d4709,4,4,9.0,2.0,9.0,2.0
a87f7484,4,4,36.0,5.0,9.0,2.0
a8c38be5,2,2,210.0,9.5,81.0,8.5
a8d7556c,3,3,324.0,2.0,324.0,3.0
a9f96cdd,4,4,15.0,2.0,15.0,3.75
aabf363d,2,2,49.0,3.0,49.0,2.0
aba27056,3,3,55.333333333333336,2.0,55.333333333333336,3.0
ac0a08a4,3,3,9.0,4.333333333333333,114.0,4.333333333333333
ae3edfdc,3,3,225.0,5.0,225.0,5.0
ae4f1146,4,4,81.0,3.0,9.0,2.0
aedd82e4,4,4,13.5,2.0,13.5,3.0
af902bf9,3,3,100.0,2.0,100.0,3.0
b0c4d837,6,6,59.666666666666664,3.0,9.0,2.0
b190f7f5,3,3,22.666666666666668,4.666666666666667,139.33333333333334,3.6666666666666665
b1948b0a,3,3,18.0,2.0,18.0,2.0
b230c067,2,2,100.0,2.0,100.0,3.0
b27ca6d3,2,2,255.0,2.0,255.0,3.0
b2862040,4,4,149.25,2.0,149.25,3.0
b527c5c6,4,4,325.0,3.0,325.0,3.0
b548a754,3,3,132.66666666666666,4.0,132.66666666666666,3.0
b60334d2,2,2,81.0,2.0,81.0,3.0
b6afb2da,2,2,100.0,2.0,100.0,4.0
b7249182,3,3,150.0,3.0,150.0,3.0
b775ac94,3,3,498.6666666666667,6.0,498.6666666666667,6.0
b782dc8a,2,2,223.0,4.0,223.0,4.0
b8825c91,4,4,256.0,8.75,256.0,7.75
b8cdaf2b,4,4,27.0,3.0,27.0,3.0
b91ae062,5,5,9.0,3.8,75.6,3.8
b94a9452,3,3,148.0,3.0,16.666666666666668,2.0
b9b7f026,3,3,240.66666666666666,6.333333333333333,1.0,1.0
ba26e723,5,5,35.4,2.0,35.4,3.0
ba97ae07,4,4,84.0,3.0,84.0,3.0
bb43febb,2,2,100.0,2.0,100.0,3.0
bbc9ae5d,5,5,7.2,2.0,27.2,2.0
bc1d5164,5,5,35.0,2.0,9.0,2.0
bd4472b8,3,3,25.333333333333332,5.0,25.333333333333332,4.0
bda2d7a6,3,3,45.333333333333336,3.0,45.333333333333336,3.0
bdad9b1f,2,2,36.0,3.0,36.0,4.0
be94b721,4,4,67.5,4.0,9.75,1.75
beb8660c,3,3,35.666666666666664,5.666666666666667,35.666666666666664,5.666666666666667
c0f76784,3,3,144.0,2.0,144.0,4.666666666666667
c1d99e64,3,3,217.0,2.0,217.0,3.0
c3e719e8,3,3,9.0,3.6666666666666665,81.0,4.666666666666667
c3f564a4,3,3,256.0,7.0,256.0,6.0
c444b776,2,2,266.0,5.5,266.0,5.5
c59eb873,3,3,9.666666666666666,4.0,38.666666666666664,4.0
c8cbb738,3,3,126.66666666666667,3.6666666666666665,19.666666666666668,3.6666666666666665
c8f0f002,3,3,15.0,3.0,15.0,3.0
c909285e,3,3,678.6666666666666,5.666666666666667,49.0,5.0
c9e6f938,3,3,9.0,2.0,18.0,2.0
c9f8e694,2,2,144.0,4.0,144.0,3.0
caa06a1f,3,3,73.66666666666667,3.0,73.66666666666667,2.0
cbded52d,3,3,64.0,3.6666666666666665,64.0,3.6666666666666665
cce03e0d,3,3,9.0,3.0,81.0,3.0
cdecee7f,3,3,100.0,7.333333333333333,9.0,7.0
ce22a75a,2,2,81.0,2.0,81.0,2.0
ce4f8723,4,4,36.0,4.0,16.0,2.0
ce602527,4,4,297.75,4.0,17.5,2.0
ce9e57f2,3,3,72.0,2.0,72.0,3.0
cf98881b,5,5,56.0,5.0,16.0,3.8
d037b0a7,3,3,9.0,3.6666666666666665,9.0,3.6666666666666665
d06dbe63,2,2,169.0,2.0,169.0,3.0
d07ae81c,3,3,207.0,4.0,207.0,4.0
d0f5fe59,3,3,133.33333333333334,2.0,9.666666666666666,2.0
d10ecb37,3,3,57.333333333333336,3.6666666666666665,4.0,3.6666666666666665
d13f3404,3,3,9.0,4.0,36.0,4.0
d22278a0,4,4,115.5,3.25,115.5,3.25
d23f8c26,3,3,19.666666666666668,6.333333333333333,19.666666666666668,3.3333333333333335
d2abd087,3,3,100.0,2.0,100.0,3.0
d364b489,2,2,100.0,2.0,100.0,6.0
d406998b,4,4,36.75,2.0,36.75,3.0
d43fd935,3,3,100.0,3.6666666666666665,100.0,3.6666666666666665
d4469b4b,7,7,25.0,2.0,9.0,2.0
d4a91cb9,3,3,113.33333333333333,3.0,113.33333333333333,4.0
d4f3cd78,2,2,100.0,2.0,100.0,3.0
d511f180,3,3,14.333333333333334,7.333333333333333,14.333333333333334,7.333333333333333
d5d6de2d,3,3,141.66666666666666,2.0,141.66666666666666,2.0
d631b094,4,4,9.0,2.0,2.5,1.0
d687bc17,3,3,149.33333333333334,6.333333333333333,149.33333333333334,5.0
d6ad076f,3,3,100.0,3.0,100.0,4.0
d89b689b,3,3,100.0,6.0,100.0,5.0
d8c310e9,3,3,75.0,3.6666666666666665,75.0,3.6666666666666665
d90796e8,3,3,33.333333333333336,4.0,33.333333333333336,4.333333333333333
d9f24cd1,2,2,100.0,3.0,100.0,3.0
d9fac9be,4,4,84.75,3.0,1.0,1.0
dae9d2b5,5,5,18.0,3.0,9.0,2.0
db3e9e38,2,2,45.5,2.0,45.5,3.0
db93a21d,4,4,281.25,2.0,281.25,4.0
dbc1a6ce,4,4,104.0,2.0,104.0,3.0
dc0a314f,3,3,256.0,6.666666666666667,25.0,4.333333333333333
dc1df850,3,3,36.333333333333336,3.0,36.333333333333336,4.0
dc433765,7,7,46.857142857142854,3.0,46.857142857142854,3.0
ddf7fa4f,3,3,100.0,5.0,100.0,4.0
de1cd16c,4,4,259.25,4.5,1.0,1.0
ded97339,3,3,100.0,2.0,100.0,2.0
e179c5f4,3,3,30.0,2.0,30.0,2.0
e21d9049,2,2,171.0,4.5,171.0,4.5
e26a3af2,3,3,204.33333333333334,9.0,204.33333333333334,3.6666666666666665
e3497940,3,3,90.0,4.0,40.0,3.0
e40b9e2f,3,3,100.0,3.0,100.0,3.0
e48d4e1a,4,4,100.0,3.0,100.0,2.0
e5062a87,3,3,100.0,3.0,100.0,3.0
e509e548,3,3,225.66666666666666,2.0,225.66666666666666,4.0
e50d258f,3,3,100.0,4.0,17.666666666666668,3.0
e6721834,3,3,296.6666666666667,5.0,148.33333333333334,4.0
e73095fd,3,3,230.33333333333334,2.0,230.33333333333334,3.0
e76a88a6,2,2,100.0,4.0,100.0,3.0
e8593010,3,3,100.0,2.0,100.0,4.0
e8dc4411,3,3,185.0,3.0,185.0,3.0
e9614598,2,2,100.0,2.0,100.0,3.0
e98196ab,3,3,121.0,4.0,55.0,3.0
e9afcf9a,2,2,12.0,2.0,12.0,2.0
ea32f347,4,4,100.0,2.0,100.0,4.0
ea786f4a,3,3,27.666666666666668,2.0,27.666666666666668,2.0
eb281b96,2,2,59.5,2.0,187.0,2.0
eb5a1d5d,3,3,544.3333333333334,3.0,27.666666666666668,3.0
ec883f72,4,4,81.25,3.0,81.25,3.0
ecdecbb3,3,3,202.33333333333334,3.0,202.33333333333334,3.0
ed36ccf7,4,4,9.0,2.0,9.0,2.0
ef135b50,3,3,100.0,2.0,100.0,3.0
f15e1fac,3,3,162.66666666666666,3.0,162.66666666666666,3.0
f1cefba8,3,3,263.3333333333333,3.0,263.3333333333333,3.0
f25fbde4,3,3,81.0,2.0,44.0,2.0
f25ffba3,2,2,40.0,4.5,40.0,4.5
f2829549,5,5,28.0,4.0,12.0,2.0
f35d900a,4,4,244.5,3.0,244.5,4.0
f5b8619d,3,3,16.333333333333332,2.0,65.33333333333333,3.0
f76d97a5,3,3,19.666666666666668,2.0,19.666666666666668,2.0
f8a8fe49,3,3,225.0,3.0,225.0,3.0
f8b3ba0a,4,4,169.0,5.0,3.0,3.0
f8c80d96,3,3,100.0,2.0,100.0,2.0
f8ff0b80,3,3,144.0,4.0,3.0,3.0
f9012d9b,3,3,30.0,3.0,3.0,1.6666666666666667
fafffa47,5,5,18.0,3.0,9.0,2.0
fcb5c309,3,3,205.66666666666666,3.0,46.666666666666664,2.0
fcc82909,3,3,100.0,6.333333333333333,100.0,7.333333333333333
feca6190,5,5,5.0,3.0,120.0,3.0
ff28f65a,8,8,36.375,2.0,9.0,2.0
ff805c23,3,3,576.0,4.333333333333333,25.0,2.0
