task_id,task_name,Correct(1) / Wrong(0)_1,Correct(1) / Wrong(0)_2,Correct(1) / Wrong(0)_3,Correct(1) / Wrong(0)_4,Correct(1) / Wrong(0)_5,Average_distance
0,007bbfb7,1,0,1,1,0,0.611981271
1,00d62c1b,1,1,1,1,1,0.923076923
2,017c7c7b,1,1,1,1,1,0.780719759
3,025d127b,0,0,0,0,0,0.800428639
4,045e512c,1,1,0,1,1,0.404364613
5,0520fde7,1,1,1,1,1,0.896959459
6,5269061,1,1,1,1,1,0.836153846
7,05f2a901,1,1,1,1,1,0.66155914
8,06df4c85,1,1,1,1,1,0.928571429
9,08ed6ac7,1,1,1,1,1,0.727407407
10,09629e4f,1,1,1,1,1,0.813791209
11,0962bcdd,0,1,0,1,0,0.736824291
12,0a938d79,1,1,1,0,1,0.880787873
13,0b148d64,1,1,1,1,1,0.703427128
14,0ca9ddb6,1,1,1,1,1,0.842642811
15,0d3d703e,1,1,1,1,1,0.799056565
16,0dfd9992,0,1,0,1,0,0.587732919
17,0e206a2e,1,1,1,1,1,0.888690476
18,10fcaaa3,1,0,0,0,1,0.510425437
19,11852cab,0,0,1,0,0,0.850698758
20,1190e5a7,1,1,1,1,1,0.940804598
21,137eaa0f,1,1,1,1,1,0.883116883
22,150deff5,1,1,1,1,1,0.759199134
23,178fcbfb,1,1,1,1,1,0.837903226
24,1a07d186,1,1,1,1,1,0.781136496
25,1b2d62fb,1,1,1,1,1,0.865079365
26,1b60fb0c,1,1,1,1,1,0.882307692
27,1bfc4729,0,1,0,1,1,0.956722689
28,1c786137,1,1,1,1,1,0.770541311
29,1caeab9d,1,1,1,1,1,0.815144533
30,1cf80156,1,1,1,1,1,0.775
31,1e0a9b12,1,1,1,1,1,0.88963964
32,1e32b0e9,1,1,1,1,1,0.907183908
33,1f0c79e5,1,1,1,1,1,0.889008755
34,1f642eb9,1,1,1,0,0,0.68883357
35,1f85a75f,1,1,1,1,1,0.748251748
36,1f876c06,1,1,1,1,1,0.843954248
37,1fad071e,1,1,0,1,1,0.916666667
38,2013d3e2,0,0,0,0,0,0.778333333
39,2204b7a8,1,1,1,1,1,0.791378205
40,22168020,1,1,1,1,1,0.69442876
41,22233c11,1,1,1,1,1,0.664970238
42,2281f1f4,1,1,1,1,0,0.818452381
43,228f6490,1,1,1,1,1,0.841410256
44,22eb0ac0,1,1,1,1,1,0.919264069
45,234bbc79,1,1,1,1,1,0.908496732
46,23581191,1,1,1,1,1,0.846198157
47,239be575,1,1,1,1,1,0.843873518
48,23b5c85d,1,0,0,1,1,0.799729102
49,253bf280,1,1,1,0,1,0.629329004
50,25d487eb,0,0,0,0,0,0.624183007
51,25d8a9c8,1,1,1,1,1,0.881711133
52,25ff71a9,0,0,0,0,0,0.8
53,264363fd,1,0,0,0,0,0.595057821
54,272f95fa,1,1,0,1,1,0.820616883
55,27a28665,0,0,0,0,0,0.94158361
56,28bf18c6,1,1,1,1,1,0.440789474
57,28e73c20,1,0,1,1,1,0.696380591
58,29623171,0,0,0,0,0,0.930397727
59,29c11459,1,1,1,1,1,0.790372671
60,29ec7d0e,1,1,1,1,1,0.924342105
61,2bcee788,1,1,1,1,1,0.851236264
62,2bee17df,0,0,0,0,0,0.509344012
63,2c608aff,1,1,1,1,1,0.903985507
64,2dc579da,1,1,1,1,1,0.802255639
65,2dd70a9a,1,1,1,1,1,0.860627798
66,2dee498d,1,1,1,1,1,0.655269608
67,31aa019c,0,0,0,0,0,0.471325814
68,321b1fc6,1,1,1,1,1,0.915804598
69,32597951,1,1,1,1,1,0.833552632
70,3345333e,0,0,0,0,0,0.808333333
71,3428a4f5,1,1,1,1,1,0.947463768
72,3618c87e,1,1,0,1,1,0.787055336
73,3631a71a,1,1,1,1,1,0.82846758
74,363442ee,1,0,0,1,0,0.828339921
75,36d67576,0,1,1,1,1,0.866666667
76,36fdfd69,1,1,1,1,1,0.723818277
77,3906de3d,1,0,1,0,0,0.856666667
78,39a8645d,1,1,1,1,1,0.791125541
79,39e1d7f9,1,1,1,1,1,0.859972003
80,3aa6fb7a,1,0,1,1,1,0.866666667
81,3ac3eb23,0,0,0,0,0,0.734189723
82,3af2c5a8,1,0,0,1,1,0.884444444
83,3bd67248,1,1,1,1,1,0.516140185
84,3bdb4ada,1,1,1,1,1,0.889117827
85,3befdf3e,0,0,0,0,0,0.843459005
86,3c9b0459,1,1,1,1,1,0.802504105
87,3de23699,1,1,1,1,1,0.866666667
88,3e980e27,1,1,1,1,1,0.773011101
89,3eda0437,1,1,1,1,1,0.895935961
90,3f7978a0,1,1,1,1,1,0.822368421
91,40853293,1,0,0,0,0,0.740097403
92,4093f84a,1,1,1,1,1,0.818961676
93,41e4d17e,1,1,1,1,1,0.890834214
94,4258a5f9,1,1,1,1,1,0.878676471
95,4290ef0e,0,0,0,0,0,0.573511489
96,42a50994,0,1,1,1,1,0.89371237
97,4347f46a,1,1,1,1,1,0.807692308
98,444801d8,1,1,1,1,1,0.711016163
99,445eab21,1,1,1,1,1,0.888339921
100,447fd412,1,1,1,1,1,0.572123016
101,44d8ac46,1,1,1,1,1,0.850543478
102,44f52bb0,1,1,1,1,1,0.821428571
103,4522001f,1,1,1,1,1,0.829808735
104,4612dd53,1,1,1,0,1,0.914942529
105,46442a0e,1,1,1,1,1,0.917018006
106,469497ad,0,0,0,0,0,0.477299631
107,46f33fce,0,1,1,1,1,0.46340812
108,47c1f68c,1,1,1,1,1,0.464828808
109,484b58aa,1,1,1,1,1,0.861404454
110,48d8fb45,1,1,1,1,1,0.9
111,4938f0c2,1,1,1,1,1,0.780529756
112,496994bd,1,1,1,1,1,0.429166667
113,49d1d64f,0,1,0,0,1,0.897838029
114,4be741c5,0,0,0,0,0,0.76798048
115,4c4377d9,1,1,1,1,1,0.768154762
116,4c5c2cf0,1,0,1,1,1,0.916666667
117,50846271,1,1,1,1,1,0.747368234
118,508bd3b6,1,1,1,1,1,0.789377289
119,50cb2852,1,1,1,1,1,0.805858262
120,5.12E+65,1,1,1,1,1,0.849264706
121,5168d44c,1,1,1,0,1,0.765063612
122,539a4f51,1,1,1,1,1,0.834148126
123,53b68214,0,0,1,1,1,0.838807008
124,543a7ed5,1,1,1,1,1,0.809090909
125,54d82841,1,1,1,1,1,0.883116883
126,54d9e175,1,1,1,1,1,0.839424758
127,5521c0d9,1,1,1,1,1,0.864855072
128,5582e5ca,1,1,1,1,1,0.735337489
129,5614dbcf,1,1,1,1,1,0.851366575
130,56dc2b01,1,1,1,1,1,0.807030379
131,56ff96f3,1,1,1,1,1,0.711572244
132,57aa92db,1,1,1,1,1,0.606199187
133,5ad4f10b,0,0,0,0,0,0.897916124
134,5bd6f4ac,1,1,1,1,1,0.852355072
135,5c0a986e,1,1,1,1,1,0.861711877
136,5c2c9af4,1,1,1,1,1,0.346513807
137,5daaa586,1,1,1,1,1,0.82712766
138,60b61512,1,1,1,0,1,0.686688312
139,6150a2bd,1,1,1,1,1,0.616290371
140,623ea044,1,1,1,1,1,0.869318182
141,62c24649,1,0,1,1,1,0.97826087
142,63613498,1,1,1,1,1,0.546670818
143,6430c8c4,0,1,0,0,0,0.616764333
144,6455b5f5,1,1,1,1,0,0.945767196
145,662c240a,0,0,0,1,0,0.58700105
146,67385a82,0,0,0,0,0,0.888888889
147,673ef223,1,1,1,1,1,0.869601889
148,6773b310,0,0,0,0,0,0.858328772
149,67a3c6ac,1,1,1,1,1,0.832417582
150,67a423a3,0,0,0,0,0,0.897058824
151,67e8384a,1,1,1,1,1,0.684388668
152,681b3aeb,0,1,0,0,0,0.777083333
153,6855a6e4,0,0,0,0,0,0.909166667
154,68b16354,0,0,0,0,0,0.644105894
155,694f12f3,1,1,1,0,0,0.83531746
156,6a1e5592,1,1,1,1,1,0.717125266
157,6aa20dc0,1,0,0,0,0,0.866666667
158,6b9890af,1,1,1,1,1,0.866666667
159,6c434453,0,0,0,0,0,0.753431373
160,6cdd2623,1,1,1,1,1,0.848652864
161,6cf79266,1,1,1,1,1,0.884782609
162,6d0160f0,0,1,1,0,1,0.71134839
163,6d0aefbc,1,1,1,1,1,0.765625
164,6d58a25d,1,1,0,1,1,0.867704857
165,6d75e8bb,0,0,0,0,0,0.808794466
166,6e02f1e3,1,1,1,1,0,0.774080087
167,6e19193c,1,1,0,1,1,0.890542328
168,6e82a1ae,1,1,1,1,1,0.734913348
169,6ecd11f4,1,1,1,1,0,0.896052632
170,6f8cd79b,0,0,0,0,0,0.894354839
171,6fa7a44f,1,1,1,1,1,0.885281385
172,72322fa7,0,0,0,0,0,0.778571429
173,72ca375d,1,1,1,1,1,0.866666667
174,73251a56,1,1,1,1,1,0.815018315
175,7447852a,1,1,1,1,1,0.817275186
176,7468f01a,1,1,1,1,1,0.803921569
177,746b3537,0,0,0,0,0,0.745431894
178,74dd1130,0,0,0,0,0,0.78021978
179,75b8110e,1,1,0,0,1,0.974358974
180,760b3cac,0,0,0,0,0,0.856818182
181,776ffc46,1,1,1,1,1,0.744234914
182,77fdfe62,1,1,1,1,1,0.767857143
183,780d0b14,1,1,1,1,1,0.801660401
184,7837ac64,1,1,1,1,1,0.795238095
185,794b24be,1,1,1,1,1,0.877770936
186,7b6016b9,0,0,0,0,0,0.777777778
187,7b7f7511,1,1,1,1,1,0.564077227
188,7c008303,1,1,1,1,1,0.677045455
189,7ddcd7ec,1,1,1,1,1,0.735697941
190,7df24a62,1,1,1,1,1,0.791499295
191,7e0986d6,1,1,1,1,1,0.664525692
192,7f4411dc,0,0,0,1,1,0.696078431
193,7fe24cdd,0,0,0,0,0,0.676470588
194,80af3007,1,1,1,1,1,0.787994891
195,810b9b61,1,1,1,1,1,0.891019215
196,82819916,1,1,1,1,1,0.793269231
197,83302e8f,1,1,1,1,1,0.827901372
198,834ec97d,1,1,1,1,1,0.687312312
199,8403a5d5,1,0,0,0,1,0.9375
200,846bdb03,1,1,1,1,1,0.558236434
201,855e0971,0,0,0,0,0,0.70244154
202,85c4e7cd,1,0,0,0,0,0.715079942
203,868de0fa,0,1,0,1,0,0.782299182
204,8731374e,0,1,1,0,1,0.68212597
205,88a10436,0,0,0,0,0,0.736411397
206,88a62173,1,1,1,1,1,0.762634409
207,8.90E+14,1,1,1,1,1,0.948022496
208,8a004b2b,0,0,1,0,0,0.536356209
209,8be77c9e,0,0,0,0,0,0.845755694
210,8d5021e8,1,1,1,1,1,0.686923077
211,8d510a79,1,1,1,1,1,0.831684982
212,8e1813be,1,1,1,1,1,0.900331439
213,8e5a5113,1,1,1,1,1,0.811908832
214,8eb1be9a,1,1,1,1,1,0.763742236
215,8efcae92,1,1,0,0,0,0.544583333
216,8f2ea7aa,1,1,1,1,1,0.806806473
217,90c28cc7,1,0,1,1,0,0.651170666
218,90f3ed37,1,1,1,1,1,0.811580087
219,913fb3ed,1,1,1,1,1,0.925
220,91413438,1,1,1,1,1,0.901538462
221,91714a58,1,1,1,1,1,0.904761905
222,9172f3a0,1,1,1,1,1,0.818783069
223,928ad970,1,1,0,1,0,0.757160895
224,93b581b8,1,0,0,1,0,0.758512621
225,941d9a10,1,1,1,1,1,0.804511278
226,94f9d214,1,1,1,1,1,0.864697802
227,952a094c,1,1,1,1,1,0.894097581
228,9565186b,1,0,0,1,1,0.709330144
229,95990924,1,1,1,1,1,0.452205882
230,963e52fc,1,1,1,1,1,0.923684211
231,97999447,0,0,0,0,1,0.927408177
232,97a05b5b,1,1,1,1,1,0.943181818
233,98cf29f8,0,0,0,0,0,0.735262424
234,995c5fa3,1,1,1,1,1,0.773838798
235,99b1bc43,1,1,1,1,1,0.715389186
236,99fa7670,1,1,0,1,1,0.696225071
237,9aec4887,1,1,1,1,1,0.84508547
238,9af7a82c,1,1,1,1,1,0.735939247
239,9d9215db,1,1,1,1,1,0.62727676
240,9dfd6313,0,0,0,0,0,0.756797235
241,9ecd008a,0,0,0,0,0,0.875
242,9edfc990,1,1,1,1,1,0.856246524
243,9f236235,0,0,0,0,0,0.238557082
244,a1570a43,1,1,1,1,1,0.561884236
245,a2fd1cf0,0,0,0,0,0,0.920362903
246,a3325580,1,1,1,1,1,0.779438406
247,a3df8b1e,1,1,1,1,1,0.895346102
248,a416b8f3,1,1,1,1,1,0.866666667
249,a48eeaf7,1,1,0,1,0,0.768274854
250,a5313dff,0,0,0,0,0,0.844796651
251,a5f85a15,1,1,0,1,1,0.643641847
252,a61ba2ce,1,1,1,1,1,0.545285839
253,a61f2674,1,1,1,1,1,0.76049313
254,a64e4611,1,1,1,1,1,0.9
255,a65b410d,0,0,1,1,0,0.822151363
256,a68b268e,1,1,1,1,1,0.949583333
257,a699fb00,0,0,1,1,0,0.841666667
258,a740d043,1,1,1,0,1,0.832142857
259,a78176bb,1,1,1,1,1,0.920566502
260,a79310a0,1,1,1,1,1,0.875
261,a85d4709,1,1,1,1,1,0.758876792
262,a87f7484,1,1,1,1,1,0.464624506
263,a8c38be5,1,1,1,1,1,0.47769338
264,a8d7556c,1,1,1,1,1,0.904761905
265,a9f96cdd,1,1,1,1,1,0.88961819
266,aabf363d,1,1,1,1,1,0.633833992
267,aba27056,1,1,1,1,0,0.866666667
268,ac0a08a4,1,1,1,1,1,0.739272224
269,ae3edfdc,1,1,1,1,1,0.544498658
270,ae4f1146,1,1,1,1,1,0.814327485
271,aedd82e4,0,1,1,1,0,0.802699275
272,af902bf9,1,0,1,1,1,0.906926407
273,b0c4d837,1,0,0,0,0,0.879790941
274,b190f7f5,1,1,1,1,1,0.70749054
275,b1948b0a,1,1,1,1,1,0.78021978
276,b230c067,1,1,1,1,1,0.79978355
277,b27ca6d3,1,1,1,1,0,0.800653595
278,b2862040,0,0,0,0,0,0.756410256
279,b527c5c6,1,1,1,1,1,0.796791444
280,b548a754,1,1,1,1,1,0.834150327
281,b60334d2,1,1,1,1,1,0.928931452
282,b6afb2da,1,1,1,1,0,0.472080089
283,b7249182,1,1,1,1,1,0.614524977
284,b775ac94,0,1,1,1,1,0.445420477
285,b782dc8a,1,1,1,1,1,0.694822104
286,b8825c91,0,0,0,0,0,0.483225108
287,b8cdaf2b,1,1,1,1,1,0.850146199
288,b91ae062,1,1,1,1,1,0.904233871
289,b94a9452,1,1,1,1,1,0.647449423
290,b9b7f026,1,1,1,1,1,0.751044608
291,ba26e723,1,1,1,1,1,0.953703704
292,ba97ae07,1,1,1,1,1,0.606913919
293,bb43febb,1,1,0,1,1,0.883116883
294,bbc9ae5d,1,1,1,1,1,0.677636667
295,bc1d5164,1,1,1,1,1,0.602323411
296,bd4472b8,0,0,1,0,0,0.924924925
297,bda2d7a6,1,1,1,1,1,1
298,bdad9b1f,0,0,0,1,0,0.844330414
299,be94b721,0,0,0,0,0,0.744736842
300,beb8660c,1,1,1,1,1,0.927910053
301,c0f76784,1,0,1,0,0,0.824016563
302,c1d99e64,1,1,1,1,1,0.85208079
303,c3e719e8,0,1,1,1,1,0.771131809
304,c3f564a4,1,1,1,1,1,0.882352941
305,c444b776,1,0,1,1,1,0.839583333
306,c59eb873,1,1,1,1,1,0.853591954
307,c8cbb738,1,1,1,1,1,0.73402855
308,c8f0f002,1,1,1,1,1,0.884615385
309,c909285e,1,1,1,1,0,0.821168091
310,c9e6f938,1,1,1,1,1,0.864035088
311,c9f8e694,1,1,1,1,1,0.8125
312,caa06a1f,1,1,1,1,1,0.806367521
313,cbded52d,0,0,0,0,0,0.726645768
314,cce03e0d,1,1,1,1,1,0.868364688
315,cdecee7f,1,1,1,1,1,0.927066076
316,ce22a75a,1,1,1,1,1,0.802631579
317,ce4f8723,1,1,1,1,1,0.923076923
318,ce602527,1,1,1,1,1,0.760025778
319,ce9e57f2,0,0,0,0,0,0.895206441
320,cf98881b,1,1,1,1,1,1
321,d037b0a7,1,1,1,0,1,0.663433089
322,d06dbe63,1,1,1,1,1,0.713963964
323,d07ae81c,1,1,1,1,1,0.785509031
324,d0f5fe59,0,1,0,0,0,0.962962963
325,d10ecb37,1,1,1,1,1,0.895864794
326,d13f3404,0,0,0,0,0,0.744711042
327,d22278a0,1,1,1,1,1,0.440117211
328,d23f8c26,1,1,1,1,1,0.888888889
329,d2abd087,1,1,0,1,1,0.927310924
330,d364b489,0,0,0,0,0,0.890740741
331,d406998b,1,1,1,1,1,0.675865801
332,d43fd935,1,1,1,1,1,0.817099567
333,d4469b4b,1,1,1,1,1,0.777790257
334,d4a91cb9,1,1,1,1,1,0.776751119
335,d4f3cd78,1,1,1,1,1,0.715335842
336,d511f180,1,1,1,1,1,0.885281385
337,d5d6de2d,0,1,0,1,0,0.778320802
338,d631b094,1,0,0,0,0,0.652065527
339,d687bc17,1,0,0,0,1,0.70612313
340,d6ad076f,1,0,1,1,1,0.602570565
341,d89b689b,0,1,1,1,1,0.887464387
342,d8c310e9,1,1,1,1,1,0.647767857
343,d90796e8,0,0,0,0,0,0.417246642
344,d9f24cd1,1,0,0,0,0,0.903225806
345,d9fac9be,1,1,1,1,1,0.844642857
346,dae9d2b5,1,1,1,1,1,0.742717778
347,db3e9e38,1,1,1,1,1,0.495036869
348,db93a21d,1,1,1,1,1,0.9130288
349,dbc1a6ce,0,0,0,0,0,0.751846433
350,dc0a314f,0,0,1,1,1,0.931034483
351,dc1df850,1,1,1,1,1,0.9125
352,dc433765,1,1,1,1,1,0.774497354
353,ddf7fa4f,1,1,1,1,1,0.797101449
354,de1cd16c,0,0,0,0,0,0.857954545
355,ded97339,1,1,1,1,1,0.847222222
356,e179c5f4,0,1,1,1,1,0.828746531
357,e21d9049,1,1,1,0,1,0.808333333
358,e26a3af2,1,1,1,1,1,0.851190476
359,e3497940,0,0,0,0,0,0.650584304
360,e40b9e2f,1,1,1,1,1,0.452669957
361,e48d4e1a,1,1,1,1,1,0.83982684
362,e5062a87,1,1,1,1,1,0.559361472
363,e509e548,1,1,1,1,1,0.586837451
364,e50d258f,1,1,1,1,1,0.649918301
365,e6721834,1,1,1,1,0,0.812234137
366,e73095fd,1,1,1,1,1,0.818181818
367,e76a88a6,1,1,1,1,1,0.733333333
368,e8593010,1,1,1,1,1,0.664275539
369,e8dc4411,1,1,1,1,1,0.670781275
370,e9614598,0,0,0,0,0,0.875
371,e98196ab,0,1,1,0,1,0.686041083
372,e9afcf9a,0,0,0,0,0,0.710142378
373,ea32f347,1,1,1,1,1,0.818618881
374,ea786f4a,1,0,0,1,0,0.846837945
375,eb281b96,1,1,1,1,1,0.601761681
376,eb5a1d5d,1,1,0,0,1,0.909090909
377,ec883f72,1,1,1,1,1,0.784147374
378,ecdecbb3,0,0,0,0,0,0.527123424
379,ed36ccf7,1,1,1,1,1,0.735347985
380,ef135b50,1,1,1,1,1,0.913043478
381,f15e1fac,0,0,0,0,0,0.300488581
382,f1cefba8,1,1,1,1,1,0.617726293
383,f25fbde4,0,0,0,0,0,0.75297619
384,f25ffba3,1,1,1,1,1,0.604761905
385,f2829549,1,1,1,1,1,0.766754417
386,f35d900a,0,1,1,1,1,0.43554526
387,f5b8619d,1,1,1,1,1,0.823863636
388,f76d97a5,1,1,1,1,1,0.8125
389,f8a8fe49,0,0,0,0,0,0.884615385
390,f8b3ba0a,1,1,1,1,1,0.671826625
391,f8c80d96,1,1,1,1,1,0.751310541
392,f8ff0b80,1,0,1,1,1,0.876855427
393,f9012d9b,1,1,1,1,1,0.884444444
394,fafffa47,0,0,0,0,0,0.713920037
395,fcb5c309,1,1,1,1,1,0.562971195
396,fcc82909,0,1,1,0,0,0.669215758
397,feca6190,1,1,1,1,1,0.523304281
398,ff28f65a,0,0,0,1,0,0.959692439
399,ff805c23,,,,,,0.866666667
